"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
5.70255277680716e-290	3.38662766235033	1	0.436	7.6676524636949e-286	"Oligodendrocytes"	"PLP1"
7.22241590483371e-178	1.90302609659188	0.978	0.661	9.7112604256394e-174	"Oligodendrocytes"	"FTH1"
2.92458424002964e-165	3.06964442456478	0.883	0.064	3.93239596914385e-161	"Oligodendrocytes"	"MAG"
1.80833164566821e-164	3.05358937826844	0.883	0.053	2.43148273076548e-160	"Oligodendrocytes"	"ERMN"
2.78616259244864e-164	2.35860720093354	0.955	0.243	3.74627422180644e-160	"Oligodendrocytes"	"MBP"
1.56704291495143e-161	3.12640336018274	0.857	0.057	2.1070459034437e-157	"Oligodendrocytes"	"CLDN11"
5.35858292213446e-141	2.74400930939308	0.861	0.082	7.205150597102e-137	"Oligodendrocytes"	"APOD"
2.85304033286365e-140	2.6212159193343	0.852	0.094	3.83619803156846e-136	"Oligodendrocytes"	"SEPT4"
1.3235620585249e-139	2.65834042713597	0.87	0.145	1.77966154389258e-135	"Oligodendrocytes"	"CAR2"
1.07636899705324e-137	2.58473205666162	0.843	0.113	1.44728575343779e-133	"Oligodendrocytes"	"CNP"
1.09448701751303e-136	2.87106689682351	0.812	0.091	1.47164724374802e-132	"Oligodendrocytes"	"CRYAB"
3.51277184036172e-136	2.75000560231759	0.865	0.105	4.72327301655036e-132	"Oligodendrocytes"	"MAL"
2.3230451526847e-130	2.26111590711159	0.883	0.14	3.12356651229985e-126	"Oligodendrocytes"	"MOBP"
5.19539614850609e-129	2.31407351789284	0.865	0.138	6.98572966128129e-125	"Oligodendrocytes"	"APLP1"
1.09373007873208e-126	2.39452093196402	0.865	0.133	1.47062946386316e-122	"Oligodendrocytes"	"TRF"
1.51035877566787e-117	2.23049675458791	0.834	0.144	2.03082840976302e-113	"Oligodendrocytes"	"GATM"
4.17652271146418e-117	2.5479129473203	0.758	0.054	5.61575243783474e-113	"Oligodendrocytes"	"STMN4"
3.31444297197047e-107	2.41698042950647	0.735	0.086	4.45660002011149e-103	"Oligodendrocytes"	"QDPR"
1.05428605792088e-104	2.64261086989634	0.592	0.014	1.41759303348041e-100	"Oligodendrocytes"	"MOG"
2.21828155253295e-99	1.73287439524123	0.91	0.33	2.9827013755358e-95	"Oligodendrocytes"	"APP"
1.50276265313884e-96	1.98710542954168	0.798	0.299	2.02061466341048e-92	"Oligodendrocytes"	"GM6977"
3.96950067818371e-92	2.44572664965231	0.61	0.035	5.33739061188582e-88	"Oligodendrocytes"	"TSPAN2"
3.3312161666928e-91	2.5554725183132	0.695	0.141	4.47915325773514e-87	"Oligodendrocytes"	"PTGDS"
2.0533812986092e-83	2.42274246304582	0.561	0.039	2.76097649410993e-79	"Oligodendrocytes"	"IL33"
1.57552593835194e-78	2.41382017936633	0.502	0.022	2.11845217670802e-74	"Oligodendrocytes"	"PEX5L"
2.21863752591905e-78	1.46871180184735	0.865	0.369	2.98318001735075e-74	"Oligodendrocytes"	"SEPT7"
1.8786051492519e-76	2.16542708102881	0.511	0.022	2.52597248368411e-72	"Oligodendrocytes"	"GM21984"
5.76960801519829e-75	1.56324227150921	0.812	0.218	7.75781493723561e-71	"Oligodendrocytes"	"GPM6B"
2.12675496364476e-68	2.18575079630794	0.466	0.024	2.85963472411674e-64	"Oligodendrocytes"	"UGT8A"
9.11147942450548e-64	1.7579416408022	0.619	0.115	1.22512952341901e-59	"Oligodendrocytes"	"FEZ1"
3.12588171269079e-63	1.92872278508148	0.453	0.024	4.20306055088404e-59	"Oligodendrocytes"	"TMEM88B"
4.95982710487321e-60	1.8491074070716	0.529	0.058	6.66898352521251e-56	"Oligodendrocytes"	"MAPT"
1.31584346097514e-57	2.23955863762102	0.35	0.006	1.76928311762718e-53	"Oligodendrocytes"	"OPALIN"
