"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
1.34569111923142e-183	2.67734413834502	0.965	0.152	1.80941627891857e-179	"1"	"ATP1A2"
1.95450937330186e-178	2.90446295284069	0.91	0.11	2.62803330334168e-174	"1"	"PLPP3"
2.0969586649171e-177	2.98184998196695	0.929	0.105	2.81957062084754e-173	"1"	"SLC1A2"
1.5593350111604e-173	2.93210179588769	0.898	0.098	2.09668185600628e-169	"1"	"TTYH1"
7.39354254876451e-166	2.39513987462163	0.961	0.348	9.94135731106876e-162	"1"	"SPARCL1"
4.93770846201447e-164	2.16425715198909	0.969	0.464	6.63924279802466e-160	"1"	"APOE"
1.50655336907942e-144	2.7555958029271	0.839	0.085	2.02571166006419e-140	"1"	"ALDOC"
1.67170225299352e-144	2.7786892196671	0.839	0.104	2.24777084937509e-140	"1"	"SLC1A3"
6.91751445156013e-138	2.81209128655126	0.69	0.017	9.30128993156775e-134	"1"	"NTSR2"
1.73220351340632e-129	2.88161032663807	0.718	0.037	2.32912084412614e-125	"1"	"PLA2G7"
1.2430267122378e-127	2.76136916086477	0.757	0.062	1.67137371727495e-123	"1"	"GJA1"
1.17799029329927e-125	2.93646204412796	0.71	0.045	1.58392574837019e-121	"1"	"SLC4A4"
7.31291654314239e-123	2.52755255608848	0.773	0.085	9.83294758390925e-119	"1"	"NDRG2"
3.1895565552698e-118	2.91184986312225	0.608	0.012	4.28867774421578e-114	"1"	"SLC6A11"
9.64452028772263e-115	2.62096588977117	0.69	0.048	1.29680219788719e-110	"1"	"GPR37L1"
5.08957340998778e-113	2.16091485426983	0.871	0.181	6.84344040706957e-109	"1"	"CLU"
3.15593943285546e-108	2.59152479612205	0.663	0.052	4.24347616141745e-104	"1"	"ATP1B2"
2.64510366851308e-102	2.21057162042221	0.741	0.133	3.55660639268269e-98	"1"	"ACSL3"
2.45485638492986e-97	2.9905139286656	0.545	0.018	3.30079989517669e-93	"1"	"AGT"
4.40953746214331e-92	2.27053331639115	0.557	0.023	5.92906407159789e-88	"1"	"F3"
5.94073290047423e-92	2.3197803772616	0.573	0.027	7.98790945797765e-88	"1"	"CLDN10"
8.09537207588727e-91	2.06400167148653	0.671	0.066	1.0885037293238e-86	"1"	"PTPRZ1"
1.74584862219684e-90	2.27285820128411	0.584	0.038	2.34746805740588e-86	"1"	"SLC6A1"
3.39721550845674e-90	2.3908718308327	0.588	0.038	4.56789597267093e-86	"1"	"EDNRB"
1.45411750970391e-86	2.2522783376936	0.553	0.031	1.95520640354788e-82	"1"	"ACSL6"
6.52311767301585e-86	2.14478580340215	0.576	0.037	8.77098402313712e-82	"1"	"NRXN1"
7.10237275013251e-86	1.77483075035057	0.78	0.21	9.54985039982817e-82	"1"	"PRNP"
3.08357703572556e-84	2.0627210510103	0.671	0.104	4.14617768223659e-80	"1"	"HTRA1"
8.69754812027003e-82	2.26286670748904	0.592	0.051	1.16947232025151e-77	"1"	"SCG3"
5.2490093035735e-80	1.60646174978934	0.808	0.284	7.05781790958492e-76	"1"	"MT1"
6.7417091170835e-80	1.9880841842807	0.584	0.049	9.06490207883047e-76	"1"	"BCAN"
7.42229304982232e-79	2.62448598776119	0.486	0.024	9.98001523479109e-75	"1"	"ITIH3"
1.25616506666607e-75	2.18963817225265	0.482	0.023	1.6890395486392e-71	"1"	"TRIL"
4.10616614279128e-75	2.15243551073599	0.478	0.02	5.52115099559715e-71	"1"	"GJB6"
4.57318424567541e-73	1.83983919299637	0.706	0.152	6.14910353673516e-69	"1"	"CPE"
4.97934825924769e-73	1.5267147583513	0.686	0.114	6.69523166938445e-69	"1"	"MT3"
1.50567266676423e-72	2.00119704225444	0.463	0.02	2.02452746773119e-68	"1"	"MMD2"
