"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
4.53170989132501e-30	1.4558120696121	0.327	0.065	6.09333711987561e-26	"WT mice (Midbrain)"	"EGR1"
2.1821828043755e-29	1.06942845142389	0.421	0.121	2.9341629987633e-25	"WT mice (Midbrain)"	"FOS"
3.74984297998584e-27	0.540929948828798	0.977	0.919	5.04203887088897e-23	"WT mice (Midbrain)"	"MALAT1"
1.72456813844013e-18	1.0546154037192	0.292	0.085	2.3188543189466e-14	"WT mice (Midbrain)"	"XPR1"
6.23945374490084e-17	0.996633630370536	0.365	0.139	8.38956950539367e-13	"WT mice (Midbrain)"	"VWA1"
1.38987760211745e-12	1.06156224479416	0.056	0	1.86882942380713e-08	"WT mice (Midbrain)"	"DLK1"
1.45040716796756e-11	0.74197047070795	0.09	0.006	1.95021747804918e-07	"WT mice (Midbrain)"	"H2.T3"
1.51960380383497e-11	0.722757196059753	0.05	0	2.0432592746365e-07	"WT mice (Midbrain)"	"CAR9"
3.68345477369705e-11	0.968265384232554	0.121	0.021	4.95277328871306e-07	"WT mice (Midbrain)"	"NR4A1"
7.2190157944447e-11	1.5627612648829	0.071	0.007	9.70668863721035e-07	"WT mice (Midbrain)"	"SCN7A"
1.30842594028055e-10	1.08967343738032	0.138	0.029	1.75930951930122e-06	"WT mice (Midbrain)"	"FOSB"
1.83408841427697e-10	0.933090561570375	0.183	0.057	2.46611528183681e-06	"WT mice (Midbrain)"	"IER2"
1.87338782148502e-10	0.65190239889852	0.044	0	2.51895726476876e-06	"WT mice (Midbrain)"	"FAM81B"
2.22289150327391e-10	1.01603112968649	0.102	0.014	2.9888999153021e-06	"WT mice (Midbrain)"	"CYR61"
4.8546930334742e-10	1.14521127100357	0.133	0.033	6.52762025280941e-06	"WT mice (Midbrain)"	"IGFBP5"
5.03170102317041e-10	0.587482165170091	0.046	0	6.76562519575494e-06	"WT mice (Midbrain)"	"FOXB1"
5.20183185578872e-10	0.648206687703304	0.042	0	6.99438311329352e-06	"WT mice (Midbrain)"	"COL23A1"
6.42263277491959e-10	0.633337274818948	0.252	0.09	8.63587202915688e-06	"WT mice (Midbrain)"	"KCNJ10"
7.4886810500213e-10	0.63405056101737	0.133	0.025	1.00692805398586e-05	"WT mice (Midbrain)"	"ENHO"
1.23454673335686e-09	0.530891595785724	0.044	0	1.65997153767164e-05	"WT mice (Midbrain)"	"SEMA3D"
1.29983543188581e-09	0.463524468186545	0.044	0	1.74775872171365e-05	"WT mice (Midbrain)"	"CHL1"
2.00656615030024e-09	0.640903488312232	0.042	0	2.6980288456937e-05	"WT mice (Midbrain)"	"COL25A1"
2.52496774409627e-09	0.557955991840804	0.338	0.156	3.39507162871184e-05	"WT mice (Midbrain)"	"GSTM1"
2.62859833378832e-09	0.650062348710498	0.31	0.137	3.53441331961177e-05	"WT mice (Midbrain)"	"FEZ1"
2.92833973335375e-09	1.0216459163684	0.035	0	3.93744560546745e-05	"WT mice (Midbrain)"	"NOV"
3.34976857158239e-09	0.788651571115615	0.275	0.124	4.50409882134968e-05	"WT mice (Midbrain)"	"GM13340"
3.94663943977644e-09	0.432225355341299	0.04	0	5.3066513907234e-05	"WT mice (Midbrain)"	"GRIK3"
4.73128547576439e-09	0.26453516739789	0.429	0.238	6.3616864507128e-05	"WT mice (Midbrain)"	"JUN"
5.4595664525804e-09	0.463209698726609	0.04	0	7.34093305213961e-05	"WT mice (Midbrain)"	"GM6335"
1.08086573124566e-08	0.468921283212898	0.038	0	0.000145333206223291	"WT mice (Midbrain)"	"RAX"
1.09026077520855e-08	0.582265715132937	0.181	0.058	0.000146596463834542	"WT mice (Midbrain)"	"RAMP1"
1.14880612079989e-08	0.508188210419052	0.035	0	0.000154468471002753	"WT mice (Midbrain)"	"CITED1"
1.27378077109098e-08	0.59732237177826	0.04	0	0.000171272562480894	"WT mice (Midbrain)"	"PDGFRA"
1.40201170914545e-08	0.337212837053847	0.692	0.512	0.000188514494411697	"WT mice (Midbrain)"	"CALM1"
1.47216852846889e-08	0.542060313140648	0.038	0	0.000197947780337926	"WT mice (Midbrain)"	"MIR22HG"
1.51561848592426e-08	0.548970598923514	0.035	0	0.000203790061617376	"WT mice (Midbrain)"	"FZD5"
1.58193281245997e-08	0.470766298622633	0.038	0	0.000212706685963368	"WT mice (Midbrain)"	"BACE2"
2.08514386279604e-08	0.646903116439027	0.075	0.009	0.000280368443791556	"WT mice (Midbrain)"	"RGS7BP"
2.4873244140618e-08	0.391199460470007	0.04	0	0.000334445640714749	"WT mice (Midbrain)"	"CARMIL1"
2.73958041905971e-08	1.61025162050997	0.031	0	0.000368363983146769	"WT mice (Midbrain)"	"PRG4"
3.35046644574063e-08	0.502079592257887	0.242	0.103	0.000450503718294286	"WT mice (Midbrain)"	"S100B"
3.62662748943955e-08	0.753101160219479	0.177	0.056	0.000487636332230042	"WT mice (Midbrain)"	"NAP1L5"
4.58596784887925e-08	0.59459591743001	0.31	0.16	0.000616629236960304	"WT mice (Midbrain)"	"NNAT"
5.54554843637396e-08	0.708222359719463	0.252	0.119	0.000745654442754842	"WT mice (Midbrain)"	"DNAJC3"
