"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
6.61987756014588e-14	1.48772118438848	0.8	0.192	8.90108736737215e-10	"WT mice (Midbrain)"	"EGR1"
2.32552388516067e-12	1.97886959568113	0.6	0.081	3.12689941598703e-08	"WT mice (Midbrain)"	"NFKBIZ"
1.89514771892716e-09	0.544050257961182	0.673	0.186	2.54821562286946e-05	"WT mice (Midbrain)"	"ATF3"
1.18162535079323e-07	0.956236637821811	0.745	0.291	0.00158881344667657	"WT mice (Midbrain)"	"NFKBIA"
1.35274466205082e-07	1.62656048004227	0.273	0.006	0.00181890047259353	"WT mice (Midbrain)"	"RBM8A"
1.98405782199356e-07	1.32076559805713	0.618	0.198	0.00266776414745254	"WT mice (Midbrain)"	"CD83"
2.16729885493609e-07	1.41216593265088	0.382	0.047	0.00291415004034707	"WT mice (Midbrain)"	"ICAM1"
6.33146774582865e-07	0.920507752477865	0.909	0.692	0.0085132915310412	"WT mice (Midbrain)"	"FTH1"
7.20961776011715e-07	1.37516301224739	0.2	0	0.00969405204025352	"WT mice (Midbrain)"	"SERTAD1"
8.81528386870453e-07	1.47594501788415	0.182	0	0.0118530306898601	"WT mice (Midbrain)"	"ASPA"
1.40586151139353e-06	1.93991269026831	0.309	0.029	0.0189032138821974	"WT mice (Midbrain)"	"ADAMTS1"
2.49487731001645e-06	1.38888354473676	0.236	0.006	0.0335461203104811	"WT mice (Midbrain)"	"CDKN1A"
3.21542919732336e-06	0.928378391685051	0.182	0	0.0432346609872099	"WT mice (Midbrain)"	"NLRP1B"
5.37535568225761e-06	1.04375559227191	0.164	0	0.0722770325036358	"WT mice (Midbrain)"	"DEPDC7"
5.47257109092353e-06	1.22973325305424	0.291	0.029	0.0735841908885578	"WT mice (Midbrain)"	"CHD1"
5.81108872564082e-06	1.03470877893999	0.145	0	0.0781358990049665	"WT mice (Midbrain)"	"GM28659"
6.00644551651927e-06	1.62065864513971	0.327	0.047	0.0807626664151181	"WT mice (Midbrain)"	"REL"
7.01400490464873e-06	1.08086879491075	0.164	0	0.0943103099479068	"WT mice (Midbrain)"	"ENPP5"
7.41730687552371e-06	1.00900582383838	0.364	0.052	0.0997331082482918	"WT mice (Midbrain)"	"HERPUD1"
7.77412424733341e-06	1.06078193679072	0.164	0	0.104530874629645	"WT mice (Midbrain)"	"CSRNP1"
8.2736441382752e-06	1.31686212513515	0.127	0	0.111247419083248	"WT mice (Midbrain)"	"CRYL1"
8.44052973313561e-06	1.14344882306879	0.127	0	0.113491362791741	"WT mice (Midbrain)"	"GM4997"
1.04002513480427e-05	2.74825605175829	0.418	0.337	0.139841779625782	"WT mice (Midbrain)"	"PLP1"
1.82510203167423e-05	0.981024267384812	0.127	0	0.245403219178918	"WT mice (Midbrain)"	"GM13149"
1.98885963912516e-05	0.868185350026145	0.145	0	0.26742206707677	"WT mice (Midbrain)"	"SOGA3"
2.35265904758571e-05	1.0161905452436	0.145	0	0.316338535538375	"WT mice (Midbrain)"	"MIR22HG"
2.50047740564977e-05	1.06279934830254	0.273	0.035	0.336214191963668	"WT mice (Midbrain)"	"TLR2"
3.1794724854584e-05	1.77086693406007	0.145	0	0.427511870394737	"WT mice (Midbrain)"	"ANLN"
3.1794724854584e-05	1.34046786719324	0.145	0	0.427511870394737	"WT mice (Midbrain)"	"FEZ1"
3.1794724854584e-05	0.922736627663159	0.145	0	0.427511870394737	"WT mice (Midbrain)"	"ELOVL6"
3.20368184172816e-05	1.05041155717459	0.145	0	0.430767060438769	"WT mice (Midbrain)"	"DACH2"
3.20368184172816e-05	0.827913068583037	0.145	0	0.430767060438769	"WT mice (Midbrain)"	"LRRN1"
4.16710725535412e-05	1.35452688692684	0.2	0.017	0.560309241554915	"WT mice (Midbrain)"	"CASP4"
5.02071959884016e-05	1.15746288758844	0.4	0.099	0.675085957260048	"WT mice (Midbrain)"	"IER2"
5.9824010077532e-05	0.913522284934953	0.709	0.355	0.804393639502495	"WT mice (Midbrain)"	"JUNB"
6.10156441107351e-05	2.1214080049466	0.2	0.012	0.820416350712944	"WT mice (Midbrain)"	"ERMN"
6.16459519356817e-05	1.01560216040418	0.273	0.041	0.828891469727176	"WT mice (Midbrain)"	"ETF1"
6.18555721685857e-05	0.950459101944845	0.127	0	0.831710023378804	"WT mice (Midbrain)"	"GM7287"
7.24620729754556e-05	1.60266073263507	0.418	0.134	0.974325033227975	"WT mice (Midbrain)"	"MBP"
7.63708333066164e-05	0.862239805593344	0.655	0.302	1	"WT mice (Midbrain)"	"CALM1"
