"status"	"family"	"pval"	"qval"	"gene_short_name"	"cluster"	"avg_logFC"
"1"	"OK"	"negbinomial.size"	3.3840809828784e-63	4.54955847338172e-59	"FOS"	"3"	1.89704844709226
"2"	"OK"	"negbinomial.size"	3.11637749498255e-47	2.09482895212727e-43	"ATF3"	"3"	1.39134145293993
"3"	"OK"	"negbinomial.size"	2.42081287547217e-34	1.0848469432616e-30	"JUN"	"3"	1.51581007635314
"4"	"OK"	"negbinomial.size"	1.3983620816658e-30	4.69989495647877e-27	"KLF2"	"3"	1.46892109020537
"5"	"OK"	"negbinomial.size"	1.03402389477711e-28	2.78028344827668e-25	"CCL4"	"3"	1.20948542554983
"6"	"OK"	"negbinomial.size"	5.46611321393953e-24	1.22477376747005e-20	"UBC"	"3"	1.17384713630914
"7"	"OK"	"negbinomial.size"	4.64514728249478e-23	8.92133715226569e-20	"BTG2"	"3"	1.26206257156888
"8"	"OK"	"negbinomial.size"	7.69525170917733e-22	1.29318704972725e-18	"JUNB"	"3"	0.893800520032644
"9"	"OK"	"negbinomial.size"	6.55192107116556e-21	9.78711409786109e-18	"ZFP36"	"3"	1.12134005797743
"10"	"OK"	"negbinomial.size"	3.62646297352311e-20	4.87541682160447e-17	"EGR1"	"3"	0.492523995704063
"11"	"OK"	"negbinomial.size"	7.02147535176838e-18	8.5815195117431e-15	"H3F3B"	"3"	0.959474521168449
"12"	"OK"	"negbinomial.size"	7.43129125119846e-17	8.32552329842601e-14	"FOSB"	"3"	0.754570635293467
"13"	"OK"	"negbinomial.size"	8.10510643270529e-16	8.38192699086845e-13	"HSPA1A"	"3"	0.96380361114069
"14"	"OK"	"negbinomial.size"	2.43987710613874e-15	2.18678052099528e-12	"CD83"	"3"	0.829340546529845
"15"	"OK"	"negbinomial.size"	2.38139558526969e-15	2.18678052099528e-12	"NFKBIA"	"3"	0.845800968554884
"16"	"OK"	"negbinomial.size"	2.71609067139749e-15	2.28219518664174e-12	"DUSP1"	"3"	0.896727981425694
"17"	"OK"	"negbinomial.size"	2.31323093718576e-13	1.82935745408973e-10	"NFKBIZ"	"3"	0.358295283756206
"18"	"OK"	"negbinomial.size"	5.66120147128054e-13	4.22828847666087e-10	"IL1B"	"1"	0.457976050502731
"19"	"OK"	"negbinomial.size"	1.08803344109917e-12	7.69869556954595e-10	"KLF6"	"3"	0.77016148840195
