"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
2.64789303077903e-16	1.71806803792738	0.902	0.189	3.56035696918549e-12	"WT mice (Midbrain)"	"EGR1"
3.83152806542639e-11	0.758790246013542	0.78	0.189	5.15187263677233e-07	"WT mice (Midbrain)"	"ATF3"
1.15205710705077e-10	2.11984648834763	0.61	0.083	1.54905598614046e-06	"WT mice (Midbrain)"	"NFKBIZ"
1.8809814636739e-08	1.54890186971979	0.683	0.201	0.000252916767605593	"WT mice (Midbrain)"	"CD83"
6.82036676961225e-08	1.87878294032695	0.439	0.047	0.000917066515842064	"WT mice (Midbrain)"	"REL"
2.12533418295548e-07	1.41408018934695	0.537	0.101	0.00285772434240194	"WT mice (Midbrain)"	"IER2"
2.26178539390156e-07	1.57872418970021	0.415	0.047	0.00304119664064004	"WT mice (Midbrain)"	"ICAM1"
3.81502503526967e-07	0.939177243827565	0.78	0.29	0.0051296826624236	"WT mice (Midbrain)"	"NFKBIA"
7.33572820975732e-07	1.29510266685131	0.366	0.036	0.00986362015083969	"WT mice (Midbrain)"	"TLR2"
1.13774058521e-06	1.14135558510421	0.78	0.361	0.0152980599087336	"WT mice (Midbrain)"	"JUNB"
1.53483293574418e-06	1.53997352024705	0.171	0	0.0206373636540163	"WT mice (Midbrain)"	"CRYL1"
3.23267606388685e-06	1.59348917014376	0.268	0.018	0.0434665623550226	"WT mice (Midbrain)"	"CASP4"
3.40510975885246e-06	1.7008554631	0.439	0.071	0.0457851058175302	"WT mice (Midbrain)"	"IL1A"
3.57963852677587e-06	1.17448324147309	0.171	0	0.0481318196310283	"WT mice (Midbrain)"	"GM13149"
4.50807219900243e-06	1.1117906867761	0.195	0	0.0606155387877867	"WT mice (Midbrain)"	"CSRNP1"
5.97066535348594e-06	1.12968150805812	0.268	0.012	0.080281566342972	"WT mice (Midbrain)"	"GM24272"
6.86689299065114e-06	1.06352692305393	0.171	0	0.0923322431522952	"WT mice (Midbrain)"	"GM28659"
9.02346606054956e-06	1.13037575916487	0.39	0.053	0.121329524650149	"WT mice (Midbrain)"	"HERPUD1"
1.45766372893324e-05	1.12759869665845	0.146	0	0.195997464992364	"WT mice (Midbrain)"	"GM4997"
1.53127496928219e-05	1.42640708230755	0.171	0	0.205895232369683	"WT mice (Midbrain)"	"SERTAD1"
1.96332220906319e-05	2.01199879517167	0.317	0.041	0.263988304230636	"WT mice (Midbrain)"	"IL1B"
2.15780773200898e-05	1.35609933003227	0.293	0.03	0.290138827645927	"WT mice (Midbrain)"	"CHD1"
2.47132881473927e-05	1.44503560192053	0.146	0	0.332294872429843	"WT mice (Midbrain)"	"LYZ1"
2.97072147497789e-05	1.62907688630129	0.22	0.006	0.399443209525527	"WT mice (Midbrain)"	"RBM8A"
3.11730063762967e-05	1.48113526659168	0.39	0.071	0.419152243735686	"WT mice (Midbrain)"	"PCF11"
3.809095740233e-05	1.65747989472717	0.146	0	0.512171013231729	"WT mice (Midbrain)"	"RRAD"
5.11567697788974e-05	0.89281344197963	0.146	0	0.687853926447054	"WT mice (Midbrain)"	"TPT1.PS4"
5.14939969906513e-05	1.31512675145829	0.244	0.012	0.692388283536297	"WT mice (Midbrain)"	"GM8814"
6.17090981282104e-05	0.933307152978812	0.439	0.101	0.829740533431918	"WT mice (Midbrain)"	"ATF4"
