"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
9.45225886879268e-14	1.67142900008976	0.804	0.188	1.27095072749786e-09	"WT mice (Midbrain)"	"EGR1"
1.13818705407719e-09	2.01419256198285	0.543	0.082	1.53040631291219e-05	"WT mice (Midbrain)"	"NFKBIZ"
2.56177877274866e-09	0.652772391575293	0.696	0.188	3.44456773783784e-05	"WT mice (Midbrain)"	"ATF3"
3.05981453942842e-07	1.77635817767181	0.391	0.047	0.00411422662971546	"WT mice (Midbrain)"	"REL"
3.4496175887579e-07	1.460782338249	0.609	0.194	0.00463835580984388	"WT mice (Midbrain)"	"CD83"
1.06478587089244e-06	1.48003200907319	0.37	0.047	0.0143171108200197	"WT mice (Midbrain)"	"ICAM1"
1.36545022635516e-06	1.3120884904968	0.478	0.1	0.0183598437435715	"WT mice (Midbrain)"	"IER2"
1.70709955763432e-06	1.15349674699882	0.174	0	0.0229536606519511	"WT mice (Midbrain)"	"GM28659"
2.72989704286495e-06	1.20217885851617	0.326	0.035	0.0367061956383621	"WT mice (Midbrain)"	"TLR2"
3.80483658249817e-06	1.45071298872088	0.152	0	0.0511598326882704	"WT mice (Midbrain)"	"CRYL1"
3.86374146024321e-06	1.26857754148034	0.152	0	0.0519518676744302	"WT mice (Midbrain)"	"GM4997"
5.6076535648682e-06	1.03605573069502	0.174	0	0.0754005098332178	"WT mice (Midbrain)"	"CSRNP1"
6.91446824906298e-06	1.09640166997627	0.152	0	0.0929719400769008	"WT mice (Midbrain)"	"GM13149"
1.09057038097669e-05	1.59910204796843	0.391	0.071	0.146638093426126	"WT mice (Midbrain)"	"IL1A"
1.14624252972086e-05	1.04734305641412	0.239	0.012	0.154123770546267	"WT mice (Midbrain)"	"GM24272"
1.16936513836053e-05	1.49819153372347	0.239	0.018	0.157232836503957	"WT mice (Midbrain)"	"CASP4"
1.17300796250302e-05	0.839933143910559	0.696	0.288	0.157722650638157	"WT mice (Midbrain)"	"NFKBIA"
1.65710213428384e-05	1.0638058073564	0.152	0	0.222813952975806	"WT mice (Midbrain)"	"GM7287"
2.01381693419712e-05	1.03900878693903	0.348	0.053	0.270777824972145	"WT mice (Midbrain)"	"HERPUD1"
2.08811574353855e-05	1.34020608272115	0.152	0	0.280768042876193	"WT mice (Midbrain)"	"SERTAD1"
2.27944716051612e-05	1.22563796307944	0.13	0	0.306494465202998	"WT mice (Midbrain)"	"NOTCH1"
2.68910667218547e-05	1.3217452692864	0.196	0.006	0.361577283142058	"WT mice (Midbrain)"	"GM13688"
3.67720637080224e-05	1.03470862753877	0.696	0.359	0.49443716861807	"WT mice (Midbrain)"	"JUNB"
4.06037130906957e-05	1.21863335994239	0.348	0.059	0.545957526217494	"WT mice (Midbrain)"	"GM24098"
4.12011516991653e-05	1.35830928513044	0.13	0	0.553990685746977	"WT mice (Midbrain)"	"LYZ1"
4.14696146465938e-05	1.15131316644204	0.13	0	0.5576004385381	"WT mice (Midbrain)"	"GM6230"
4.64175615653962e-05	1.5370676096146	0.196	0.006	0.624130532808317	"WT mice (Midbrain)"	"RBM8A"
5.73873128841736e-05	1.56539067749455	0.13	0	0.771629809040598	"WT mice (Midbrain)"	"RRAD"
5.91269690089143e-05	1.26283059004205	0.261	0.029	0.795021225293862	"WT mice (Midbrain)"	"CHD1"
6.07007541901828e-05	1.17340177801482	0.239	0.018	0.816182340841198	"WT mice (Midbrain)"	"GM6170"
6.66137216216482e-05	0.890216872035448	0.13	0	0.895688100924682	"WT mice (Midbrain)"	"GM8885"
6.77091421120563e-05	1.90700524651511	0.283	0.041	0.910417124838709	"WT mice (Midbrain)"	"IL1B"
7.11155156369547e-05	1.22990271004442	0.217	0.012	0.956219223254492	"WT mice (Midbrain)"	"GM8814"
7.23671666480902e-05	0.826476437334949	0.13	0	0.973048922750221	"WT mice (Midbrain)"	"TPT1.PS4"
7.94982646786769e-05	1.26498043783551	0.348	0.065	1	"WT mice (Midbrain)"	"GM5822"
8.58301364229419e-05	1.04722695266944	0.13	0	1	"WT mice (Midbrain)"	"GM6060"
8.93384528435444e-05	0.948133354134127	0.13	0	1	"WT mice (Midbrain)"	"GM13413"
9.17581766713501e-05	0.798980049758215	0.13	0	1	"WT mice (Midbrain)"	"GM4918"
0.000104402750960862	1.38194315549545	0.348	0.071	1	"WT mice (Midbrain)"	"PCF11"
0.000122086830839255	1.26332612759647	0.196	0.012	1	"WT mice (Midbrain)"	"GM5292"
0.000133619194579569	1.46604038927445	0.174	0.006	1	"WT mice (Midbrain)"	"SNAPC1"
0.000162100005404648	0.877656245878354	0.109	0	1	"WT mice (Midbrain)"	"GM28530"
0.000169338808197308	1.30540595239347	0.174	0.006	1	"WT mice (Midbrain)"	"CDKN1A"
0.000172639978542344	1.25747776994539	0.239	0.029	1	"WT mice (Midbrain)"	"FTH.PS3"
0.000179893439012801	1.21430657883159	0.217	0.018	1	"WT mice (Midbrain)"	"GM2367"
0.000185233864469119	0.853439995090086	0.109	0	1	"WT mice (Midbrain)"	"RP23.312A24.1"
0.000187722964809297	1.07866538681635	0.109	0	1	"WT mice (Midbrain)"	"GM5256"
0.000217096058464363	1.14676720079402	0.174	0.006	1	"WT mice (Midbrain)"	"PLEKHO2"
0.000225367979918013	0.835920718286365	0.391	0.1	1	"WT mice (Midbrain)"	"ATF4"
0.000246076289139049	1.12781811697379	0.087	0	1	"WT mice (Midbrain)"	"GM14853"
0.000249261992213106	0.914625088574189	0.109	0	1	"WT mice (Midbrain)"	"GM5445"
0.000256231254233685	1.03185449427106	0.109	0	1	"WT mice (Midbrain)"	"GM12035"
0.000277007901429	1.10365896427821	0.109	0	1	"WT mice (Midbrain)"	"LMNA"
0.000277681322995603	1.14594979253091	0.304	0.059	1	"WT mice (Midbrain)"	"FAM46C"
0.000290641602520212	1.02925190643775	0.109	0	1	"WT mice (Midbrain)"	"CFAP97"
0.000294210412221353	1.05787411798215	0.261	0.041	1	"WT mice (Midbrain)"	"ETF1"
0.000303523139167983	0.907588498512892	0.109	0	1	"WT mice (Midbrain)"	"GM7082"
0.000308804940248758	0.866862238361865	0.109	0	1	"WT mice (Midbrain)"	"GM14056"
0.000312372441583687	0.655887189719619	0.261	0.035	1	"WT mice (Midbrain)"	"GM5558"
0.000318455726282761	0.711784458100842	0.109	0	1	"WT mice (Midbrain)"	"APOBR"
0.000323324061603316	1.3246790062021	0.391	0.112	1	"WT mice (Midbrain)"	"FOSB"
0.000338516189014252	0.836141643314257	0.109	0	1	"WT mice (Midbrain)"	"GM15766"
0.000349443259077765	1.37666958776638	0.196	0.018	1	"WT mice (Midbrain)"	"GM6159"
0.000361868957391783	0.929053858523743	0.109	0	1	"WT mice (Midbrain)"	"RP23.267J18.2"
0.000390963144349519	1.16655530658528	0.457	0.153	1	"WT mice (Midbrain)"	"MCL1"
0.000409264504029664	1.07151948391662	0.174	0.012	1	"WT mice (Midbrain)"	"GM26532"
0.000431295253045576	1.27870447201644	0.283	0.047	1	"WT mice (Midbrain)"	"GM4760"
0.000445286183484766	0.834896613125713	0.109	0	1	"WT mice (Midbrain)"	"GM42689"
0.00047346457669184	1.42398296734212	0.174	0.012	1	"WT mice (Midbrain)"	"CSF1"
0.000480368472543604	1.07567040603342	0.326	0.071	1	"WT mice (Midbrain)"	"VWA1"
0.000497352466724056	1.92457499176084	0.217	0.029	1	"WT mice (Midbrain)"	"ADAMTS1"
0.000498032948778607	0.912260981367765	0.457	0.153	1	"WT mice (Midbrain)"	"EIF3A"
0.000519467395365984	0.657551806654578	0.109	0	1	"WT mice (Midbrain)"	"GM11718"
0.000523451585610495	0.91811335598576	0.087	0	1	"WT mice (Midbrain)"	"ADAM9"
0.000524853831242988	0.845915928488472	0.109	0	1	"WT mice (Midbrain)"	"GM14023"
0.000537244802553071	1.07870536640412	0.087	0	1	"WT mice (Midbrain)"	"PHYKPL"
0.000541355385466435	0.622833796313425	0.109	0	1	"WT mice (Midbrain)"	"ACTA1"
0.000544754261312649	1.17723392444491	0.304	0.065	1	"WT mice (Midbrain)"	"GOLGB1"
0.00055220975315513	1.07170289315241	0.326	0.071	1	"WT mice (Midbrain)"	"GM5160"
0.000609634458124866	0.664676835451363	0.109	0	1	"WT mice (Midbrain)"	"ARL5C"
0.000658346553607875	0.991243845034107	0.087	0	1	"WT mice (Midbrain)"	"GM5599"
0.000686739642023387	0.87494182904621	0.087	0	1	"WT mice (Midbrain)"	"GOPC"
0.000690646856515948	0.807034405982344	0.087	0	1	"WT mice (Midbrain)"	"GM6443"
0.000714367477937728	0.944065208419396	0.087	0	1	"WT mice (Midbrain)"	"GM4607"
0.00076344295210774	1.0534484830061	0.196	0.018	1	"WT mice (Midbrain)"	"GM8326"
0.000789201184549888	1.20194629417542	0.239	0.035	1	"WT mice (Midbrain)"	"GM42573"
0.000819931122685359	0.787558074124148	0.087	0	1	"WT mice (Midbrain)"	"GM11524"
0.000831278038732988	0.562016067714616	0.109	0	1	"WT mice (Midbrain)"	"GM12230"
0.000895202414114897	1.13167074847328	0.196	0.018	1	"WT mice (Midbrain)"	"GM15400"
0.000914863981274587	0.716417036447011	0.087	0	1	"WT mice (Midbrain)"	"GM15732"
0.000925336165129133	1.29924111728282	0.152	0.006	1	"WT mice (Midbrain)"	"KDM6B"
0.000925491096012276	0.778046816952477	0.087	0	1	"WT mice (Midbrain)"	"GM17150"
0.00095760057772482	0.692993116841026	0.087	0	1	"WT mice (Midbrain)"	"GM13047"
0.00102208506140822	0.689143248785303	0.087	0	1	"WT mice (Midbrain)"	"GM5110"
0.0010324717772183	0.55626025782682	0.109	0	1	"WT mice (Midbrain)"	"MYO1C"
0.00104784676780853	0.809676756572896	0.087	0	1	"WT mice (Midbrain)"	"RBM38"
0.00110893197343571	0.948360351429488	0.152	0.006	1	"WT mice (Midbrain)"	"GM6485"
0.00111675245467134	0.6776819001075	0.087	0	1	"WT mice (Midbrain)"	"GM11703"
0.00111782325325619	0.967774280780899	0.087	0	1	"WT mice (Midbrain)"	"GM17994"
0.00114080226707444	1.07146470178673	0.239	0.035	1	"WT mice (Midbrain)"	"TGIF1"
0.00117853737530626	0.654840896984455	0.109	0	1	"WT mice (Midbrain)"	"TNF"
0.00120521985777176	0.765216609527445	0.196	0.024	1	"WT mice (Midbrain)"	"GM6767"
0.00125805115957585	1.01938706753417	0.174	0.012	1	"WT mice (Midbrain)"	"MARCKSL1"
0.00128323943909742	1.03374921292406	0.283	0.059	1	"WT mice (Midbrain)"	"BRD2"
0.00129008888027024	0.776921735474916	0.087	0	1	"WT mice (Midbrain)"	"FUNDC1"
0.0012941434946204	1.17150906637428	0.065	0	1	"WT mice (Midbrain)"	"GM12057"
0.00129696750305152	0.887715708168882	0.087	0	1	"WT mice (Midbrain)"	"1810032O08RIK"
0.001300628438457	1.07364160697107	0.239	0.035	1	"WT mice (Midbrain)"	"GM5876"
0.0013007362344755	0.849016603727126	0.087	0	1	"WT mice (Midbrain)"	"TNFAIP1"
0.00131967418023832	0.803166913560379	0.326	0.082	1	"WT mice (Midbrain)"	"GM13456"
0.00136865808367137	0.843159761083746	0.087	0	1	"WT mice (Midbrain)"	"GM15791"
0.00136998893269581	0.786808560703121	0.087	0	1	"WT mice (Midbrain)"	"PPP1R3B"
0.00141816976849672	0.690433938401486	0.087	0	1	"WT mice (Midbrain)"	"ACTC1"
0.00146198627141265	1.06607898008653	0.13	0.006	1	"WT mice (Midbrain)"	"GM16210"
0.00153534416878503	0.806428850135753	0.13	0.006	1	"WT mice (Midbrain)"	"GM5921"
0.00159091044052009	0.557065702487804	0.891	0.688	1	"WT mice (Midbrain)"	"FTH1"
0.00159714111611614	1.20036774251593	0.261	0.047	1	"WT mice (Midbrain)"	"GM14747"
0.00162086458253503	1.01839381346111	0.065	0	1	"WT mice (Midbrain)"	"GBP2"
0.00167499533547913	0.796866326523903	0.087	0	1	"WT mice (Midbrain)"	"GM5879"
0.00173461764642124	1.01878441870623	0.152	0.012	1	"WT mice (Midbrain)"	"TPT1.PS5"
0.00178011300650626	0.752021964736941	0.609	0.3	1	"WT mice (Midbrain)"	"CALM1"
0.00179464632206961	0.566550647033058	0.087	0	1	"WT mice (Midbrain)"	"TPT1.PS2"
0.0018034429667783	1.04514211829123	0.196	0.024	1	"WT mice (Midbrain)"	"GM9701"
0.00180641159457043	0.807647128176179	0.087	0	1	"WT mice (Midbrain)"	"MIR22HG"
0.0019530505965607	1.22608328560966	0.413	0.153	1	"WT mice (Midbrain)"	"GM17087"
0.00202772431964635	0.684058640934022	0.217	0.029	1	"WT mice (Midbrain)"	"GM4204"
0.00205189847247528	0.899426290044816	0.087	0	1	"WT mice (Midbrain)"	"GM5340"
0.00209907393092852	0.771280374092777	0.261	0.053	1	"WT mice (Midbrain)"	"NLRP3"
0.00214361598617106	0.57380740047979	0.087	0	1	"WT mice (Midbrain)"	"RPIA"
0.00231858991343218	0.867992752593603	0.087	0	1	"WT mice (Midbrain)"	"5730508B09RIK"
0.0023185899134322	0.546447907253726	0.087	0	1	"WT mice (Midbrain)"	"SC5D"
0.00234791284212808	0.538916691340395	0.087	0	1	"WT mice (Midbrain)"	"GM4799"
