"status"	"family"	"pval"	"qval"	"gene_short_name"
"ATF3"	"OK"	"negbinomial.size"	5.90991696375202e-35	7.94529236606822e-31	"ATF3"
"NFKBIZ"	"OK"	"negbinomial.size"	2.19842168460867e-19	1.47777905639395e-15	"NFKBIZ"
"EGR1"	"OK"	"negbinomial.size"	3.71441935651997e-19	1.66455512763515e-15	"EGR1"
"JUNB"	"OK"	"negbinomial.size"	9.97754841009923e-19	3.35345402063435e-15	"JUNB"
"CCL4"	"OK"	"negbinomial.size"	1.84585200115278e-17	4.96312686069961e-14	"CCL4"
"CD83"	"OK"	"negbinomial.size"	1.75629305800756e-15	3.9352673119756e-12	"CD83"
"ADAMTS1"	"OK"	"negbinomial.size"	2.0325354975576e-13	3.90362960416634e-10	"ADAMTS1"
"IL1B"	"OK"	"negbinomial.size"	6.95487130093003e-13	1.16876612212129e-09	"IL1B"
"CD74"	"OK"	"negbinomial.size"	1.52243922849564e-12	2.27418588754394e-09	"CD74"
"TTR"	"OK"	"negbinomial.size"	7.84003759894467e-12	1.05401465480212e-08	"TTR"
"FOSB"	"OK"	"negbinomial.size"	1.4069175386177e-11	1.71950903537967e-08	"FOSB"
"REL"	"OK"	"negbinomial.size"	2.68788084362987e-10	3.01132250514666e-07	"REL"
"KLF2"	"OK"	"negbinomial.size"	6.65889503070109e-10	6.88632190713427e-07	"KLF2"
"H2.K1"	"OK"	"negbinomial.size"	1.40929986922869e-09	1.35333053156504e-06	"H2.K1"
"NFKBIA"	"OK"	"negbinomial.size"	1.24493870158303e-08	1.11579706027215e-05	"NFKBIA"
"H3F3B"	"OK"	"negbinomial.size"	2.07305814793609e-08	1.7418871088033e-05	"H3F3B"
"IER2"	"OK"	"negbinomial.size"	7.72233525145036e-08	6.10700441885286e-05	"IER2"
"FCRLS"	"OK"	"negbinomial.size"	1.0242427547937e-07	7.64995533080365e-05	"FCRLS"
"IL1A"	"OK"	"negbinomial.size"	1.11869470499226e-07	7.91564821785051e-05	"IL1A"
"FOS"	"OK"	"negbinomial.size"	4.59955709251574e-07	0.000309182227758908	"FOS"
"C1QA"	"OK"	"negbinomial.size"	5.16039364862845e-07	0.000330363486724576	"C1QA"
"GM10269"	"OK"	"negbinomial.size"	1.15315181974158e-06	0.000704680593845718	"GM10269"
"BTG2"	"OK"	"negbinomial.size"	1.371526622479e-06	0.000801687126635117	"BTG2"
"UBC"	"OK"	"negbinomial.size"	2.83832795881332e-06	0.00158993671159526	"UBC"
"GPX1"	"OK"	"negbinomial.size"	3.17718010590068e-06	0.00170856037374915	"GPX1"
"IER5"	"OK"	"negbinomial.size"	3.94489107891785e-06	0.00203981214096045	"IER5"
"CSF1"	"OK"	"negbinomial.size"	4.54936055828109e-06	0.002265244568353	"CSF1"
"ICAM1"	"OK"	"negbinomial.size"	4.99228971684015e-06	0.00239701224832853	"ICAM1"
"H2.AB1"	"OK"	"negbinomial.size"	5.31969131961287e-06	0.00246613552071984	"H2.AB1"
"SNAPC1"	"OK"	"negbinomial.size"	5.84425258626236e-06	0.00261900439232371	"SNAPC1"
"JUN"	"OK"	"negbinomial.size"	6.77652786550364e-06	0.00293882711689777	"JUN"
"KLF6"	"OK"	"negbinomial.size"	7.19644671030654e-06	0.00302340717416753	"KLF6"
"LGMN"	"OK"	"negbinomial.size"	8.34449147926016e-06	0.00339949525597496	"LGMN"
"H2.AA"	"OK"	"negbinomial.size"	1.09449175339414e-05	0.00432774915665612	"H2.AA"
"P2RY12"	"OK"	"negbinomial.size"	1.13790515893961e-05	0.00437085627336688	"P2RY12"
"FTH1"	"OK"	"negbinomial.size"	1.3950751595274e-05	0.00520983067907955	"FTH1"
"CHD4"	"OK"	"negbinomial.size"	1.84104102794717e-05	0.00662491750000795	"CHD4"
"PCF11"	"OK"	"negbinomial.size"	1.87255924576244e-05	0.00662491750000795	"PCF11"
"GM6159"	"OK"	"negbinomial.size"	2.13088873642377e-05	0.00734555594166183	"GM6159"
"ITM2B"	"OK"	"negbinomial.size"	3.179442447741e-05	0.0106861060668575	"ITM2B"
"CASP4"	"OK"	"negbinomial.size"	3.39961762368029e-05	0.0108820141268471	"CASP4"
"FUBP1"	"OK"	"negbinomial.size"	3.37162267640447e-05	0.0108820141268471	"FUBP1"
"GM17087"	"OK"	"negbinomial.size"	3.89739133113545e-05	0.0116233741850473	"GM17087"
"HSPA1A"	"OK"	"negbinomial.size"	3.97705454114979e-05	0.0116233741850473	"HSPA1A"
"MCL1"	"OK"	"negbinomial.size"	3.722252677626e-05	0.0116233741850473	"MCL1"
"RRAD"	"OK"	"negbinomial.size"	3.92346553033522e-05	0.0116233741850473	"RRAD"
"DUSP1"	"OK"	"negbinomial.size"	4.53488800239131e-05	0.0129717094264146	"DUSP1"
"MIR692.1"	"OK"	"negbinomial.size"	5.53688774752792e-05	0.0155078997662011	"MIR692.1"
"CX3CR1"	"OK"	"negbinomial.size"	6.68736174164699e-05	0.0183479369907555	"CX3CR1"
"GM15536"	"OK"	"negbinomial.size"	7.69207042907927e-05	0.0206824389697083	"GM15536"
"EVI2A"	"OK"	"negbinomial.size"	8.04971686961651e-05	0.0208116141529085	"EVI2A"
"RBM8A"	"OK"	"negbinomial.size"	7.9481748690715e-05	0.0208116141529085	"RBM8A"
"GM12346"	"OK"	"negbinomial.size"	9.08662354608088e-05	0.0226223272136132	"GM12346"
"SOCS3"	"OK"	"negbinomial.size"	8.98167665380789e-05	0.0226223272136132	"SOCS3"
"LYZ1"	"OK"	"negbinomial.size"	0.000104165236001945	0.0254617715056391	"LYZ1"
"HEXB"	"OK"	"negbinomial.size"	0.000108740755189688	0.0261055484423243	"HEXB"
"SIRT2"	"OK"	"negbinomial.size"	0.000114428121707864	0.0269889766357986	"SIRT2"
"GPR84"	"OK"	"negbinomial.size"	0.000123516311265552	0.0286302291147256	"GPR84"
"GM5292"	"OK"	"negbinomial.size"	0.000133046051237705	0.0303164595396561	"GM5292"
"SERTAD1"	"OK"	"negbinomial.size"	0.000147409887374929	0.0330296420978092	"SERTAD1"
"G3BP2"	"OK"	"negbinomial.size"	0.000153877347896621	0.0339135584446257	"G3BP2"
"ZCCHC17"	"OK"	"negbinomial.size"	0.00015796728073206	0.0342534213251906	"ZCCHC17"
"ATP5A1"	"OK"	"negbinomial.size"	0.000177159174264655	0.0378052053780004	"ATP5A1"
"JUND"	"OK"	"negbinomial.size"	0.000187610048753066	0.039409835866191	"JUND"
"GM14747"	"OK"	"negbinomial.size"	0.000194828999646633	0.0402966318653743	"GM14747"
"CDKN1A"	"OK"	"negbinomial.size"	0.00020334566635504	0.0409224369606085	"CDKN1A"
"SDC4"	"OK"	"negbinomial.size"	0.000203942522787918	0.0409224369606085	"SDC4"
"CD14"	"OK"	"negbinomial.size"	0.000213708703586827	0.0420266594141852	"CD14"
"WDR26"	"OK"	"negbinomial.size"	0.000215697671792531	0.0420266594141852	"WDR26"
"CRYL1"	"OK"	"negbinomial.size"	0.000221292752987488	0.0425008538737684	"CRYL1"
"GM7290"	"OK"	"negbinomial.size"	0.000233997823998718	0.0436925936922051	"GM7290"
"RNF216"	"OK"	"negbinomial.size"	0.000233681748364717	0.0436925936922051	"RNF216"
"VPS29"	"OK"	"negbinomial.size"	0.000242782632991416	0.0447119139443369	"VPS29"
"DPY30"	"OK"	"negbinomial.size"	0.000259745696242925	0.0465602818705318	"DPY30"
"TOB2"	"OK"	"negbinomial.size"	0.000259267394427496	0.0465602818705318	"TOB2"
"CGGBP1"	"OK"	"negbinomial.size"	0.000270303116315701	0.0471930203103544	"CGGBP1"
