"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"OXA1L"	0.00467024300754614	0.721993490312147	0.054	0.032	1	"1"	"OXA1L"	0.316378228826344
"TTR"	4.32551915977751e-07	0.398732530605891	0.981	0.669	0.00581609306223684	"2"	"TTR"	0.00064623256247076
"VPS29"	0.0003801255447432	1.10704444026215	0.151	0.019	1	"2"	"VPS29"	0.0786333549941087
"AKR7A5"	0.000408376011201317	1.15695041913198	0.132	0.006	1	"2"	"AKR7A5"	0.0831973310092865
"PSMD6"	0.000918170320561449	1.08671647118197	0.132	0.032	1	"2"	"PSMD6"	0.145397563459765
"SRD5A3"	0.00152945906054458	0.967133645476819	0.075	0	1	"2"	"SRD5A3"	0.178827013287673
"CD79B"	0.00167479794699594	0.806279994978696	0.075	0	1	"2"	"CD79B"	0.188914052057909
"RNF6"	0.0016859799380447	0.945931793735387	0.075	0	1	"2"	"RNF6"	0.188914052057909
"CNRIP1"	0.00189774094927444	0.857512896224406	0.075	0	1	"2"	"CNRIP1"	0.203979098617966
"RNF34"	0.0021950991705732	1.10143029912583	0.113	0.006	1	"2"	"RNF34"	0.212250577018728
"ALDOA"	0.00247129710654141	0.956300334547565	0.208	0.083	1	"2"	"ALDOA"	0.223085469078778
"HAX1"	0.00259150030896765	0.515500085930182	0.057	0	1	"2"	"HAX1"	0.230763663274033
"CFH"	0.00342711158062651	0.622066455768578	0.509	0.338	1	"2"	"CFH"	0.280981355567708
"ADGRE1"	0.00346179945331094	0.88388591973412	0.208	0.07	1	"2"	"ADGRE1"	0.282105184540721
"ELF2"	0.00379052759418639	0.920585166832201	0.208	0.057	1	"2"	"ELF2"	0.299808435479001
"DCP1B"	0.00441357322319354	0.565613206235347	0.057	0	1	"2"	"DCP1B"	0.316378228826344
"TSTD2"	0.00442663546368967	0.973235549923053	0.094	0.006	1	"2"	"TSTD2"	0.316378228826344
"FCRLS"	0.00448532237475512	0.60979247535684	0.717	0.516	1	"2"	"FCRLS"	0.316378228826344
"TSTA3"	0.00481329797871651	0.579027559168613	0.057	0	1	"2"	"TSTA3"	0.316378228826344
"KLHL18"	0.00488940519263535	0.589167379195479	0.057	0	1	"2"	"KLHL18"	0.316378228826344
"RIC8A"	0.00493868680157457	0.948231757318713	0.094	0.006	1	"2"	"RIC8A"	0.316378228826344
"SH2B1"	0.00516225559852726	0.817109584088805	0.113	0.013	1	"2"	"SH2B1"	0.316378228826344
"SPOCK2"	0.00561881096658806	0.63699274149453	0.057	0	1	"2"	"SPOCK2"	0.316378228826344
"ZDHHC21"	0.00567924652575624	0.712411417609021	0.057	0	1	"2"	"ZDHHC21"	0.316378228826344
"PSMA4"	0.00578977323354898	0.853629926459674	0.17	0.057	1	"2"	"PSMA4"	0.316378228826344
"G6PDX"	0.00585172432413441	0.640955502921224	0.057	0	1	"2"	"G6PDX"	0.316378228826344
"STX17"	0.00593775346348265	0.6323572963795	0.057	0	1	"2"	"STX17"	0.316378228826344
"LDLRAD4"	0.00601664299803808	0.608612231021899	0.057	0.006	1	"2"	"LDLRAD4"	0.316969322690265
"GM18284"	0.0063970706666195	0.618337204499026	0.057	0	1	"2"	"GM18284"	0.325814440088507
"KATNA1"	0.00645565155619276	0.615369903381925	0.057	0	1	"2"	"KATNA1"	0.327557323866294
"NCF4"	0.00677925440601495	0.799539218214299	0.132	0.032	1	"2"	"NCF4"	0.34268366444841
"GM15720"	0.00741089093883021	0.808434969634446	0.057	0	1	"2"	"GM15720"	0.362352143867313
"CDS1"	0.007790946835091	0.686712991386249	0.057	0	1	"2"	"CDS1"	0.374639937479094
"5530601H04RIK"	0.00801185068948402	0.676163258811633	0.057	0	1	"2"	"5530601H04RIK"	0.378457723533209
"ARHGEF40"	0.0080977118335057	1.04381780552323	0.151	0.045	1	"2"	"ARHGEF40"	0.378457723533209
"YRDC"	0.00810276618295857	0.773534139688228	0.057	0	1	"2"	"YRDC"	0.378457723533209
"ADAMTS10"	0.00814410485200455	0.765954660649566	0.057	0	1	"2"	"ADAMTS10"	0.378457723533209
"HINT1"	0.00823452516185742	0.809714487597357	0.113	0.045	1	"2"	"HINT1"	0.378457723533209
"PCCA"	0.00823534088952755	0.717828384745734	0.057	0	1	"2"	"PCCA"	0.378457723533209
"ZFP655"	0.00826684528769467	0.683461252476722	0.057	0	1	"2"	"ZFP655"	0.378457723533209
"ATIC"	0.00837020179182373	0.539695574856602	0.057	0.006	1	"2"	"ATIC"	0.380939420150011
"ODF2L"	0.00846253755596702	0.736245810141074	0.057	0	1	"2"	"ODF2L"	0.380939420150011
"SGF29"	0.00847611385763281	0.791171219469374	0.057	0	1	"2"	"SGF29"	0.380939420150011
"TRF"	0.00870100601057412	0.586900681782814	0.491	0.357	1	"2"	"TRF"	0.386352271125777
"GM6542"	0.00882122171914425	0.75739056935276	0.094	0.025	1	"2"	"GM6542"	0.386352271125777
"CROT"	0.00917241047288519	0.85903635828852	0.151	0.032	1	"2"	"CROT"	0.395295612879533
"GM12988"	0.00920575429806035	0.549663061921656	0.057	0.006	1	"2"	"GM12988"	0.395465087193992
"PHF7"	0.00937939778485475	0.477201365700233	0.057	0.006	1	"2"	"PHF7"	0.39784032370712
"P2RY12"	0.0096385813499733	0.402861609301031	0.906	0.745	1	"2"	"P2RY12"	0.404489563834308
"ATF3"	2.60372002962899e-15	1.63495228620077	0.765	0.157	3.50096195183914e-11	"3"	"ATF3"	3.50096195183914e-11
"EGR1"	2.21501442316555e-12	1.6002461812763	0.725	0.201	2.97830839338839e-08	"3"	"EGR1"	1.4891541966942e-08
"NFKBIZ"	4.82445730204228e-12	2.17435785681088	0.529	0.075	6.48696528832605e-08	"3"	"NFKBIZ"	2.16232176277535e-08
"CD83"	3.69476269147056e-09	1.56773825608203	0.627	0.189	4.96797791495131e-05	"3"	"CD83"	1.24199447873783e-05
"JUNB"	8.20103987698265e-09	1.30922268934722	0.765	0.34	0.000110271182185909	"3"	"JUNB"	2.20542364371817e-05
"H3F3B"	1.72690288252122e-07	0.91138053128465	0.784	0.371	0.00232199361583803	"3"	"H3F3B"	0.000331713373691147
"REL"	2.420060192531e-07	1.98172879912863	0.353	0.05	0.00325401293487718	"3"	"REL"	0.000406751616859648
"ICAM1"	2.42433866247224e-06	1.46851095780073	0.333	0.05	0.0325976576556017	"3"	"ICAM1"	0.00325976576556017
"IER2"	2.71823197847678e-06	1.37413684217146	0.431	0.107	0.0365493471825988	"3"	"IER2"	0.0033226679256908
"TLR2"	5.07124049426483e-06	1.36598460625725	0.294	0.038	0.068187899685885	"3"	"TLR2"	0.00568232497382375
"GM28659"	7.04268947884738e-06	0.926119353158284	0.137	0	0.0946960027325819	"3"	"GM28659"	0.00687633462794186
"GM24098"	7.1596522974257e-06	1.20501568927133	0.314	0.057	0.096268684791186	"3"	"GM24098"	0.00687633462794186
"FOSB"	8.0050927330518e-06	1.6224122757246	0.392	0.113	0.107636476888614	"3"	"FOSB"	0.00717576512590763
"GM13149"	9.84143233354772e-06	1.0288857557071	0.137	0	0.132327899156883	"3"	"GM13149"	0.00827049369730516
"NFKBIA"	2.20331881456029e-05	0.94081037797555	0.647	0.302	0.296258247805776	"3"	"NFKBIA"	0.0172916020094954
"FOS"	2.31725480962882e-05	0.661239911933592	0.667	0.314	0.311578081702692	"3"	"FOS"	0.0172916020094954
"IL1B"	2.5287192226113e-05	1.62116593067534	0.275	0.038	0.340011586672316	"3"	"IL1B"	0.0172916020094954
"CSF1"	2.70254855376744e-05	1.57279682691029	0.176	0.006	0.36338467853957	"3"	"CSF1"	0.0172916020094954
"GM10269"	2.82038035980145e-05	1.38129468180214	0.353	0.101	0.379228343178903	"3"	"GM10269"	0.0172916020094954
"H2.K1"	2.82920752795551e-05	1.41191876791371	0.549	0.233	0.380415244208898	"3"	"H2.K1"	0.0172916020094954
