"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
2.62591804609549e-16	1.71806803792738	0.902	0.189	3.53080940477999e-12	"WT mice (Midbrain)"	"EGR1"	1.76540470239e-12
3.81650813303726e-11	0.758790246013542	0.78	0.189	5.1316768356819e-07	"WT mice (Midbrain)"	"ATF3"	1.7105589452273e-07
1.14616121304228e-10	2.11984648834763	0.61	0.083	1.54112836705665e-06	"WT mice (Midbrain)"	"NFKBIZ"	3.85282091764164e-07
1.84146435674308e-08	1.54890186971979	0.683	0.201	0.000247603297407675	"WT mice (Midbrain)"	"CD83"	4.9520659481535e-05
6.80536865861739e-08	1.87878294032695	0.439	0.047	0.000915049869837694	"WT mice (Midbrain)"	"REL"	0.000152508311639616
2.12026149473357e-07	1.41408018934695	0.537	0.101	0.00285090360581876	"WT mice (Midbrain)"	"IER2"	0.000379766602379712
2.25950678197062e-07	1.57872418970021	0.415	0.047	0.00303813281903769	"WT mice (Midbrain)"	"ICAM1"	0.000379766602379712
3.80572753357918e-07	0.939177243827565	0.78	0.29	0.00511718124165057	"WT mice (Midbrain)"	"NFKBIA"	0.000568575693516729
7.33413985836572e-07	1.29510266685131	0.366	0.036	0.00986148445355854	"WT mice (Midbrain)"	"TLR2"	0.000986148445355854
1.10915244664237e-06	1.14135558510421	0.78	0.361	0.0149136637975533	"WT mice (Midbrain)"	"JUNB"	0.00135578761795939
1.53483293574418e-06	1.53997352024705	0.171	0	0.0206373636540163	"WT mice (Midbrain)"	"CRYL1"	0.00171978030450136
3.23255676033262e-06	1.59348917014376	0.268	0.018	0.0434649581994324	"WT mice (Midbrain)"	"CASP4"	0.00320878797540189
3.39554489906337e-06	1.7008554631	0.439	0.071	0.0456564967128061	"WT mice (Midbrain)"	"IL1A"	0.00320878797540189
3.57963852677587e-06	1.17448324147309	0.171	0	0.0481318196310283	"WT mice (Midbrain)"	"GM13149"	0.00320878797540189
4.50807219900243e-06	1.1117906867761	0.195	0	0.0606155387877867	"WT mice (Midbrain)"	"CSRNP1"	0.00378847117423667
5.96914770447808e-06	1.12968150805812	0.268	0.012	0.0802611600344122	"WT mice (Midbrain)"	"GM24272"	0.0047212447079066
6.86689299065114e-06	1.06352692305393	0.171	0	0.0923322431522952	"WT mice (Midbrain)"	"GM28659"	0.0051295690640164
9.02342203754339e-06	1.13037575916487	0.39	0.053	0.121328932716808	"WT mice (Midbrain)"	"HERPUD1"	0.00638573330088465
1.45766372893324e-05	1.12759869665845	0.146	0	0.195997464992364	"WT mice (Midbrain)"	"GM4997"	0.009333212618684
1.53127496928219e-05	1.42640708230755	0.171	0	0.205895232369683	"WT mice (Midbrain)"	"SERTAD1"	0.00935887419862195
1.96168909758443e-05	2.01199879517167	0.317	0.041	0.263768716061202	"WT mice (Midbrain)"	"IL1B"	0.0114682050461392
2.15758049304967e-05	1.35609933003227	0.293	0.03	0.290108273095458	"WT mice (Midbrain)"	"CHD1"	0.0120878447123108
2.47132881473927e-05	1.44503560192053	0.146	0	0.332294872429843	"WT mice (Midbrain)"	"LYZ1"	0.0132917948971937
2.96539772810682e-05	1.62907688630129	0.22	0.006	0.398727378521243	"WT mice (Midbrain)"	"RBM8A"	0.014767680685972
3.11045261803688e-05	1.48113526659168	0.39	0.071	0.418231459021239	"WT mice (Midbrain)"	"PCF11"	0.0149368378221871
3.809095740233e-05	1.65747989472717	0.146	0	0.512171013231729	"WT mice (Midbrain)"	"RRAD"	0.0176610694217837
5.11567697788974e-05	0.89281344197963	0.146	0	0.687853926447054	"WT mice (Midbrain)"	"TPT1.PS4"	0.0223246636132221
5.14699220593399e-05	1.31512675145829	0.244	0.012	0.692064572009884	"WT mice (Midbrain)"	"GM8814"	0.0223246636132221
6.17070464527201e-05	0.933307152978812	0.439	0.101	0.829712946603275	"WT mice (Midbrain)"	"ATF4"	0.0245816279277522
6.3346423100757e-05	1.12340748493241	0.146	0	0.851756005012778	"WT mice (Midbrain)"	"GM6060"	0.0245816279277522
6.88240759546089e-05	1.18825984942227	0.366	0.059	0.925408525285672	"WT mice (Midbrain)"	"GM24098"	0.0245816279277522
6.88306546751929e-05	0.863923882293994	0.146	0	0.925496982762643	"WT mice (Midbrain)"	"GM4918"	0.0245816279277522
6.94706129149622e-05	1.30156987418574	0.512	0.148	0.934101861254582	"WT mice (Midbrain)"	"MCL1"	0.0245816279277522
7.74272794989319e-05	1.55640606316937	0.195	0.006	1	"WT mice (Midbrain)"	"SNAPC1"	0.026118565587216
9.21562459345714e-05	0.856316014163855	0.146	0	1	"WT mice (Midbrain)"	"GM7287"	0.0295826113742511
9.24044085764203e-05	1.24019858075801	0.341	0.059	1	"WT mice (Midbrain)"	"FAM46C"	0.0295826113742511
0.00010603217142494	1.39258026063134	0.195	0.006	1	"WT mice (Midbrain)"	"CDKN1A"	0.0331560134181335
0.000148111234180014	1.22756567901005	0.195	0.006	1	"WT mice (Midbrain)"	"PLEKHO2"	0.0430904865691821
0.000151105678282345	1.40266380682604	0.439	0.118	1	"WT mice (Midbrain)"	"FOSB"	0.0430904865691821
0.000155029358789068	1.2202866812936	0.366	0.065	1	"WT mice (Midbrain)"	"GM5160"	0.0430904865691821
0.000161095659783045	1.46711946709134	0.22	0.018	1	"WT mice (Midbrain)"	"GM6159"	0.0430904865691821
0.000170063597979483	0.736743236993122	0.293	0.036	1	"WT mice (Midbrain)"	"GM5558"	0.0430904865691821
0.00017252583290519	0.985166878769215	0.122	0	1	"WT mice (Midbrain)"	"GM5445"	0.0430904865691821
0.000173054162928442	1.2922554528206	0.098	0	1	"WT mice (Midbrain)"	"PRRC2B"	0.0430904865691821
0.000188004477877751	1.27421316549376	0.341	0.065	1	"WT mice (Midbrain)"	"GOLGB1"	0.0457326351596744
0.0001970538266379	2.02809793668353	0.244	0.03	1	"WT mice (Midbrain)"	"ADAMTS1"	0.0457326351596744
0.000197086820662223	1.16982291846487	0.366	0.071	1	"WT mice (Midbrain)"	"VWA1"	0.0457326351596744
0.000197270031181104	1.18201296593461	0.122	0	1	"WT mice (Midbrain)"	"LMNA"	0.0457326351596744
0.000206068222143964	1.15498787762534	0.195	0.012	1	"WT mice (Midbrain)"	"GM26532"	0.0469621274362801
0.000209558801589826	1.104712937043	0.122	0	1	"WT mice (Midbrain)"	"CFAP97"	0.0469621274362801
0.00022124241112307	0.977808704613537	0.122	0	1	"WT mice (Midbrain)"	"GM7082"	0.0479810558058194
0.000234870054359566	0.772033955185879	0.122	0	1	"WT mice (Midbrain)"	"APOBR"	0.049344730483105
0.000250447241195653	1.37082516185365	0.317	0.047	1	"WT mice (Midbrain)"	"GM4760"	0.0508360214621177
0.000251117098122863	1.51625113131919	0.195	0.012	1	"WT mice (Midbrain)"	"CSF1"	0.0508360214621177
0.000253310533836225	0.902958880895318	0.122	0	1	"WT mice (Midbrain)"	"GM15766"	0.0508360214621177
0.000293984818519586	1.15611397424422	0.098	0	1	"WT mice (Midbrain)"	"PHYKPL"	0.0581311745560934
0.00032781898837286	1.204190550831	0.244	0.03	1	"WT mice (Midbrain)"	"FTH.PS3"	0.0629693445380212
0.000349687237836251	0.729241858976068	0.122	0	1	"WT mice (Midbrain)"	"GM8885"	0.066043035177696
0.00035364409733706	0.901652262192593	0.122	0	1	"WT mice (Midbrain)"	"GM42689"	0.066043035177696
0.000361394832632447	0.824369737667732	0.683	0.308	1	"WT mice (Midbrain)"	"CALM1"	0.0665659578024094
0.000425116685624727	0.714655950571096	0.122	0	1	"WT mice (Midbrain)"	"GM11718"	0.0761385872822808
0.000430353460765532	0.913213890254417	0.122	0	1	"WT mice (Midbrain)"	"GM14023"	0.0761385872822808
0.000446432938233897	0.677827423575639	0.122	0	1	"WT mice (Midbrain)"	"ACTA1"	0.0779576271102985
0.000465094633003199	1.11435478385815	0.146	0.006	1	"WT mice (Midbrain)"	"NOTCH1"	0.0801751594277053
0.000479518030925612	0.677845339125297	0.805	0.432	1	"WT mice (Midbrain)"	"HSPA5"	0.0816151828332377
0.00048997455693152	1.01947572132157	0.268	0.041	1	"WT mice (Midbrain)"	"ETF1"	0.0822120146912862
0.000495956158249255	0.642314374522059	0.78	0.396	1	"WT mice (Midbrain)"	"H3F3B"	0.0822120146912862
0.000512556841431123	1.25231333050008	0.073	0	1	"WT mice (Midbrain)"	"GM12057"	0.0822120146912862
0.0005135080061548	0.722204586619114	0.122	0	1	"WT mice (Midbrain)"	"ARL5C"	0.0822120146912862
0.00051971004378695	0.924088369665153	0.488	0.16	1	"WT mice (Midbrain)"	"EIF3A"	0.0822120146912862
0.000530454178777316	1.09236571641897	0.22	0.018	1	"WT mice (Midbrain)"	"GM2367"	0.0829358940446488
0.000549588738646042	1.06143493868083	0.171	0.006	1	"WT mice (Midbrain)"	"GM13688"	0.0841417991198355
0.000550682606168788	0.69283976597402	0.122	0	1	"WT mice (Midbrain)"	"GM13413"	0.0841417991198355
0.000576304366652409	1.12644202359151	0.317	0.059	1	"WT mice (Midbrain)"	"BRD2"	0.0870672866742505
0.000584613713756687	0.649439199197253	0.122	0	1	"WT mice (Midbrain)"	"GM11469"	0.087341288835249
0.00061422847669516	1.13042949288374	0.585	0.243	1	"WT mice (Midbrain)"	"H2.K1"	0.09075731975432
0.000628727373304826	0.776926942971197	0.098	0	1	"WT mice (Midbrain)"	"GM15732"	0.0916870870639976
0.000640775244147834	1.32716302262709	0.463	0.154	1	"WT mice (Midbrain)"	"GM17087"	0.0916870870639976
0.000668029817441445	0.752173133273338	0.098	0	1	"WT mice (Midbrain)"	"GM13047"	0.0934339176579543
0.000674036145531873	1.38582509437172	0.171	0.006	1	"WT mice (Midbrain)"	"KDM6B"	0.0934339176579543
0.000683769485109085	1.15956574454104	0.268	0.036	1	"WT mice (Midbrain)"	"TGIF1"	0.093815964252824
0.000725475053694232	1.09341365503268	0.073	0	1	"WT mice (Midbrain)"	"GBP2"	0.0977028832605695
0.000727649184592381	0.748101521278352	0.098	0	1	"WT mice (Midbrain)"	"GM5110"	0.0977028832605695
0.000736054556185133	0.613119625032882	0.122	0	1	"WT mice (Midbrain)"	"GM12230"	0.0977028832605695
0.00075156572844602	0.875167352516536	0.098	0	1	"WT mice (Midbrain)"	"RBM38"	0.098015671211896
0.000758116153951895	0.712654852338449	0.098	0	1	"WT mice (Midbrain)"	"GM28530"	0.098015671211896
0.000815791043757131	0.735974652472189	0.098	0	1	"WT mice (Midbrain)"	"GM11703"	0.102345788844813
0.000822054528874003	0.989646482858494	0.317	0.065	1	"WT mice (Midbrain)"	"ROCK1"	0.102345788844813
0.000852281324999338	1.02255317925893	0.171	0.006	1	"WT mice (Midbrain)"	"GM6485"	0.104179769963101
0.000873246055953964	1.01272466874803	0.22	0.018	1	"WT mice (Midbrain)"	"GM6170"	0.105780778994207
0.00089829483636081	0.68048424757182	0.098	0	1	"WT mice (Midbrain)"	"RP23.312A24.1"	0.107843503300959
0.000910951941906097	0.877761050656967	0.146	0.006	1	"WT mice (Midbrain)"	"GM5921"	0.108395219565216
